Date,Actual_AQI,ARIMA_Predicted,Residual,Split
2021-09-17,176.5,120.2222575003097,56.277742499690305,train
2021-09-18,201.9,150.67237775079926,51.22762224920075,train
2021-09-19,230.3,160.90399055511432,69.39600944488569,train
2021-09-20,259.2,174.35678409871517,84.84321590128482,train
2021-09-21,185.4,188.3802342383794,-2.9802342383793814,train
2021-09-22,185.0,156.40743566721994,28.592564332780057,train
2021-09-23,209.8,159.64220125689408,50.15779874310593,train
2021-09-24,183.2,171.9265484739281,11.27345152607188,train
2021-09-25,144.6,160.74790770879028,-16.147907708790285,train
2021-09-26,166.9,145.29294247285554,21.607057527144462,train
2021-09-27,156.5,157.06124781326196,-0.5612478132619572,train
2021-09-28,109.5,152.51212903564698,-43.01212903564698,train
2021-09-29,116.9,132.28212054694293,-15.382120546942929,train
2021-09-30,183.5,136.92475472831816,46.57524527168184,train
2021-10-01,171.2,166.76708160234654,4.432918397653452,train
2021-10-02,157.5,160.23493807407093,-2.734938074070925,train
2021-10-03,171.4,155.32356504244098,16.07643495755903,train
2021-10-04,191.2,162.56198002232344,28.63801997767655,train
2021-10-05,208.6,171.86596846640654,36.73403153359345,train
2021-10-06,210.9,180.2726473572132,30.627352642786803,train
2021-10-07,137.0,182.20208680127345,-45.20208680127345,train
2021-10-08,244.5,150.08960179402084,94.41039820597916,train
2021-10-09,146.0,201.23085420394366,-55.230854203943665,train
2021-10-10,123.5,155.16709432770773,-31.66709432770773,train
2021-10-11,143.3,148.46816606099003,-5.168166060990018,train
2021-10-12,148.2,157.8213960019425,-9.621396001942514,train
2021-10-13,166.0,159.5976655960009,6.402334403999106,train
2021-10-14,146.0,167.76322197558375,-21.763221975583747,train
2021-10-15,146.2,158.6234395745661,-12.423439574566117,train
2021-10-16,178.2,159.4342133552064,18.765786644793593,train
2021-10-17,175.1,173.938001438798,1.1619985612019832,train
2021-10-18,206.5,172.11470644618572,34.38529355381428,train
2021-10-19,228.2,186.96753723027675,41.23246276972324,train
2021-10-20,160.6,196.8220794825154,-36.2220794825154,train
2021-10-21,162.4,166.93004899028836,-4.53004899028835,train
2021-10-22,164.3,170.04050976015952,-5.740509760159512,train
2021-10-23,185.0,170.94877366009814,14.05122633990186,train
2021-10-24,170.0,180.5216921808759,-10.521692180875903,train
2021-10-25,190.6,173.6509598553037,16.949040144696284,train
2021-10-26,266.0,183.75489276448218,82.24510723551782,train
2021-10-27,305.3,217.87436502696556,87.42563497303445,train
2021-10-28,269.4,235.3057236504031,34.09427634959687,train
2021-10-29,196.3,220.52908377555113,-24.229083775551118,train
2021-10-30,202.2,190.54017491082377,11.659825089176223,train
2021-10-31,142.4,196.15941951513054,-53.75941951513053,train
2021-11-01,186.9,169.6526380558225,17.2473619441775,train
2021-11-02,282.8,191.52475370301605,91.27524629698397,train
2021-11-03,120.5,234.0976751518662,-113.59767515186621,train
2021-11-04,276.6,159.86490373735194,116.73509626264809,train
2021-11-05,298.6,235.08942073412683,63.51057926587319,train
2021-11-06,263.0,242.00265974886184,20.997340251138155,train
2021-11-07,227.3,227.86410331582016,-0.564103315820148,train
2021-11-08,284.4,214.5425948486631,69.85740515133688,train
2021-11-09,258.8,242.61573360437654,16.184266395623467,train
2021-11-10,179.6,231.36203542779361,-51.76203542779362,train
2021-11-11,150.7,198.05652509327754,-47.356525093277554,train
2021-11-12,151.2,187.65544573356848,-36.455445733568496,train
2021-11-13,201.8,188.43260653533133,13.36739346466868,train
2021-11-14,161.3,211.05227264863876,-49.75227264863875,train
2021-11-15,227.1,191.6721111204174,35.42788887958258,train
2021-11-16,159.2,222.56074484987485,-63.36074484987486,train
2021-11-17,179.6,190.49662109514892,-10.89662109514893,train
2021-11-18,320.2,201.51790749819224,118.68209250180774,train
2021-11-19,320.2,264.3648733846137,55.83512661538629,train
2021-11-20,192.0,262.35508509043825,-70.35508509043825,train
2021-11-21,234.1,206.71108892824495,27.388911071755047,train
2021-11-22,278.6,229.7248623826351,48.87513761736491,train
2021-11-23,297.0,249.15787444516425,47.84212555483575,train
2021-11-24,299.6,257.7523680431778,41.84763195682223,train
2021-11-25,178.0,260.25624432933773,-82.25624432933773,train
2021-11-26,258.7,206.9531105644183,51.74688943558169,train
2021-11-27,306.0,247.0321141995222,58.9678858004778,train
2021-11-28,211.2,266.94561280394856,-55.745612803948575,train
2021-11-29,309.4,224.62481970058653,84.77518029941345,train
2021-11-30,232.5,272.3746085406113,-39.87460854061129,train
2021-12-01,243.0,236.29040009411233,6.709599905887671,train
2021-12-02,251.8,244.1881708345858,7.611829165414207,train
2021-12-03,260.7,248.4590085795034,12.240991420496584,train
2021-12-04,307.5,253.12731761390808,54.372682386091924,train
2021-12-05,246.2,275.0631165764587,-28.863116576458708,train
2021-12-06,239.2,247.6161547096225,-8.416154709622504,train
2021-12-07,220.0,247.07425423669085,-27.074254236690848,train
2021-12-08,174.5,239.00497690800586,-64.50497690800586,train
2021-12-09,184.4,219.13309338585427,-34.73309338585426,train
2021-12-10,115.3,224.30398442652455,-109.00398442652455,train
2021-12-11,187.4,192.02755272013422,-4.627552720134219,train
2021-12-12,299.1,224.98780875271433,74.1121912472857,train
2021-12-13,320.2,272.57164555220464,47.628354447795346,train
2021-12-14,306.4,279.9695968370755,26.43040316292445,train
2021-12-15,320.2,274.68030936866796,45.519690631332026,train
2021-12-16,314.4,282.57537390919146,31.824626090808522,train
2021-12-17,295.1,280.9672792588222,14.13272074117782,train
2021-12-18,277.4,273.82515786317055,3.5748421368294316,train
2021-12-19,241.6,267.476536400346,-25.876536400345998,train
2021-12-20,273.9,252.56674259202987,21.33325740797011,train
2021-12-21,237.6,268.4638524022801,-30.863852402280116,train
2021-12-22,156.6,251.6891566412248,-95.0891566412248,train
2021-12-23,145.8,216.21794469395036,-70.41794469395035,train
2021-12-24,259.7,212.3672361490691,47.33276385093089,train
2021-12-25,209.6,262.5742224217181,-52.97422242171811,train
2021-12-26,222.8,236.6361881085283,-13.83618810852829,train
2021-12-27,236.0,243.6701653605912,-7.670165360591199,train
2021-12-28,309.5,248.6423468432697,60.857653156730294,train
2021-12-29,305.7,281.2759524067977,24.42404759320226,train
2021-12-30,236.2,278.25497313220814,-42.05497313220815,train
2021-12-31,319.2,247.857077573855,71.34292242614498,train
2022-01-01,320.2,287.2671940002939,32.93280599970609,train
